# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
706000 60.0646 -107.564 -252.648 131.592 79.5687 34.352
708000 -102.785 84.3051 -141.008 102.142 56.4029 -47.8405
710000 97.8424 253.997 -327.577 -17.6344 204.345 27.7297
712000 31.5138 111.617 -220.484 -2.24865 107.262 -74.0171
714000 -220.732 70.4977 -137.895 57.5909 63.4919 2.05355
716000 36.2309 167.753 28.5896 80.4314 -2.61876 -1.30622
718000 128.455 46.1575 116.432 226.263 12.4794 -35.1401
720000 86.1117 -39.8818 136.471 41.5537 35.3994 -37.6484
722000 64.9413 -76.6894 -65.4896 119.521 -92.3308 19.054
724000 93.056 -34.3545 -82.9497 50.6426 -31.5883 -133.46
726000 -50.2934 -125.506 -38.5434 61.6713 -169.881 -103.412
728000 23.4517 -36.1226 12.3993 -4.90787 -80.0757 7.5805
730000 62.7793 -25.0984 154.039 96.5001 23.7633 10.0318
732000 17.7183 -21.4424 90.164 -69.4344 27.4037 -41.0643
734000 -81.3975 -122.737 24.0238 66.8529 -23.0314 -59.8666
736000 27.1312 -100.696 120.003 1.13819 -64.0452 67.578
738000 -33.1605 -154.239 144.469 -157.188 -9.27232 -83.4843
740000 108.802 9.58287 -69.3568 -62.2666 14.9961 -128.711
742000 110.597 43.2847 -73.4358 147.369 61.0305 55.3011
744000 40.3697 -50.2636 -42.3171 135.842 44.3533 36.1833
746000 100.491 -38.7454 -21.4704 -90.0482 -5.26172 61.2301
748000 212.161 -26.9955 -75.5 -111.422 -122.172 22.0165
750000 9.64403 -43.275 -15.5014 -19.4196 10.819 -88.5934
752000 187.897 -109.87 -133.465 -6.92798 -16.6357 -35.9397
754000 28.5423 -4.28271 -136.445 150.147 -94.5377 -112.838
756000 95.9276 -176.034 -66.5128 103.033 17.5182 -51.7929
758000 -65.1652 6.49044 122.362 53.4848 54.8298 -19.8346
760000 -60.8302 -15.0296 122.809 79.034 38.6676 -17.2255
762000 128.807 -27.9898 -16.2054 -78.0826 60.3731 19.6628
764000 23.9757 -198.207 -94.2657 21.5682 76.5696 59.8147
766000 -35.1346 106.996 97.7238 -22.6756 15.0968 24.3869
768000 -11.4908 123.525 -43.2332 -106.814 -36.1424 -60.2808
770000 -85.1212 -132.726 70.2777 -64.0471 -61.8562 113.289
772000 96.603 -46.7061 57.3417 -38.5514 -86.8981 -39.7015
774000 124.505 -18.4502 -35.1561 -126.981 -33.4522 -74.266
776000 26.6672 -57.7784 13.0664 -118.331 -1.02057 71.6091
778000 16.9838 -72.2384 42.086 -12.4213 42.2207 -52.0791
780000 -70.1246 39.8907 -193.037 -177.492 104.576 52.008
782000 -150.264 95.0833 -67.5991 43.1824 47.0208 91.1801
784000 -82.1481 40.5706 -22.1189 -4.6045 -33.7451 116.351
786000 -155.688 -94.4181 35.4921 -53.0929 -27.8821 100.031
788000 18.7037 12.4959 74.3943 53.428 44.2388 58.3051
790000 39.4827 11.1907 -140.498 12.9521 -101.334 45.9447
792000 9.01149 93.6131 -5.88908 157.334 -29.6094 26.6649
794000 -43.1003 18.502 -47.5666 23.8846 -11.7183 -22.7023
