# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
568000 8.00754e-09 2.75187e-08 1.53651e-08 5.08913e-08
570000 -3.21951e-08 -1.87697e-08 -3.19339e-08 -8.28986e-08
572000 4.85123e-08 1.28171e-08 -1.32909e-08 4.80386e-08
574000 -3.36445e-08 2.05328e-08 -2.33517e-08 -3.64634e-08
576000 -1.18925e-09 -3.04023e-08 -1.76164e-08 -4.92079e-08
578000 -1.85863e-08 -1.35169e-09 2.20761e-08 2.13809e-09
580000 6.25494e-10 -2.69591e-08 -4.67991e-09 -3.10136e-08
582000 7.65003e-10 3.29303e-08 4.11627e-08 7.48579e-08
584000 2.43972e-08 1.25818e-08 -9.69786e-09 2.72811e-08
586000 -9.34726e-09 1.75018e-08 -3.53961e-08 -2.72415e-08
588000 -2.80756e-08 -2.77159e-08 -5.60538e-09 -6.13968e-08
590000 4.93418e-08 -1.43467e-08 -3.07931e-08 4.20197e-09
592000 -1.60789e-08 -2.74069e-08 2.60119e-08 -1.74739e-08
594000 -1.5327e-08 1.82875e-08 2.74762e-09 5.7081e-09
596000 6.47475e-09 -1.3523e-08 -4.90353e-08 -5.60836e-08
598000 2.15109e-08 -7.43541e-09 4.51604e-08 5.92359e-08
600000 1.41646e-08 1.72436e-08 2.25104e-08 5.39185e-08
602000 -4.00179e-08 -1.35928e-08 2.63218e-08 -2.72889e-08
604000 -2.07224e-09 7.66855e-09 -1.97472e-08 -1.41509e-08
606000 -1.81149e-08 -2.31616e-08 -1.04577e-08 -5.17341e-08
608000 -6.84845e-09 9.49133e-09 -5.0773e-08 -4.81301e-08
610000 3.99496e-10 -2.3448e-08 3.17477e-08 8.69911e-09
612000 1.77672e-08 1.12538e-08 2.06179e-08 4.96389e-08
614000 2.28852e-10 -2.49029e-08 -3.10382e-08 -5.57123e-08
616000 -1.52452e-08 -3.42134e-09 1.6567e-08 -2.09953e-09
618000 -1.41418e-08 9.64538e-09 -2.82916e-08 -3.27881e-08
620000 -2.52183e-08 1.79585e-08 -4.00264e-09 -1.12625e-08
622000 2.42031e-08 3.43204e-08 -7.33585e-10 5.77899e-08
624000 -4.61903e-08 2.46018e-09 1.38102e-09 -4.23491e-08
626000 3.12029e-08 1.11526e-08 3.54089e-08 7.77644e-08
628000 -8.57259e-09 2.36309e-08 -6.01389e-09 9.04447e-09
630000 6.81405e-09 -2.36773e-08 4.09003e-09 -1.27732e-08
632000 7.90771e-08 2.18393e-08 -4.41338e-08 5.67826e-08
634000 -3.53402e-08 -4.62507e-08 5.1579e-08 -3.00119e-08
636000 1.14462e-08 -3.51213e-08 -6.4531e-08 -8.82061e-08
638000 2.56603e-08 4.59813e-08 3.64406e-08 1.08082e-07
640000 3.897e-09 -2.6067e-08 -1.44197e-08 -3.65898e-08
642000 1.2065e-08 -1.8101e-09 -5.0322e-09 5.22269e-09
644000 8.19323e-09 2.51635e-08 -2.32791e-08 1.00776e-08
646000 -1.7578e-08 -3.4715e-10 1.84773e-08 5.52146e-10
648000 -8.24568e-09 -1.11034e-08 2.38913e-08 4.54229e-09
650000 2.50336e-08 -6.87285e-09 -1.31079e-08 5.05286e-09
652000 -9.56056e-09 3.33532e-08 1.51063e-08 3.88989e-08
654000 -3.87505e-08 -4.19058e-08 2.72768e-08 -5.33794e-08
656000 -2.25331e-08 -1.10698e-09 -3.84105e-09 -2.74811e-08
658000 7.19628e-09 3.48022e-08 2.95049e-08 7.15033e-08
660000 2.62305e-10 1.03006e-08 -9.95005e-09 6.12905e-10
662000 -5.3613e-08 -2.10093e-08 6.14323e-08 -1.319e-08
664000 -1.10192e-08 7.46609e-09 2.15169e-08 1.79638e-08
666000 2.60374e-08 -4.22102e-08 -1.069e-08 -2.68627e-08
668000 -2.40258e-08 3.37278e-08 9.9538e-10 1.06974e-08
670000 2.35779e-09 -2.95039e-08 1.35075e-08 -1.36387e-08
672000 3.43723e-09 1.07129e-08 1.89704e-08 3.31205e-08
674000 -2.15345e-08 4.32575e-08 2.03511e-08 4.20741e-08
676000 8.04604e-09 -9.75518e-09 1.25492e-08 1.08401e-08
678000 7.83313e-09 4.42681e-08 1.57869e-09 5.36799e-08
680000 1.23581e-08 -2.04326e-08 4.02343e-09 -4.05116e-09
682000 -1.78409e-08 -1.04675e-08 1.02007e-08 -1.81076e-08
684000 -3.57047e-08 -1.91115e-08 8.50809e-09 -4.63082e-08
686000 2.58023e-08 6.73075e-08 3.09364e-08 1.24046e-07
688000 -5.38429e-08 -7.7517e-08 8.6855e-09 -1.22674e-07
690000 -2.10407e-09 2.57245e-08 7.48503e-09 3.11055e-08
692000 5.5483e-08 2.05651e-08 -1.83001e-08 5.7748e-08
694000 3.38183e-08 3.32317e-09 -4.33639e-10 3.67078e-08
696000 -5.04018e-08 -1.85595e-08 -4.66231e-08 -1.15584e-07
698000 2.17666e-08 2.58996e-08 5.35183e-08 1.01184e-07
700000 8.06981e-10 -1.78583e-08 -1.43578e-08 -3.14092e-08
702000 3.74565e-08 -2.06891e-08 -3.04424e-08 -1.36749e-08
704000 -7.82748e-09 -3.18147e-08 2.88418e-08 -1.08004e-08
706000 5.30117e-08 4.45249e-09 3.25108e-08 8.99749e-08
708000 1.51757e-08 -1.21501e-08 -4.69034e-08 -4.38778e-08
710000 4.77682e-08 -1.96739e-08 2.39637e-09 3.04907e-08
712000 -3.16467e-08 -1.52385e-08 7.1033e-08 2.41478e-08
714000 5.10287e-08 1.723e-08 -3.33956e-08 3.48632e-08
716000 1.09221e-09 -1.52842e-08 -2.08905e-08 -3.50825e-08
718000 -4.17086e-08 2.14213e-08 1.13579e-08 -8.92951e-09
720000 2.53208e-09 -2.9712e-08 8.56656e-10 -2.63233e-08
722000 -2.07591e-08 -7.23225e-08 -2.83989e-08 -1.21481e-07
724000 3.19354e-08 4.05416e-08 -1.60138e-08 5.64632e-08
726000 4.7239e-08 -2.20695e-09 1.41345e-08 5.91665e-08
728000 -2.56805e-09 2.97708e-08 -3.2732e-08 -5.52928e-09
730000 -8.13941e-09 1.46101e-08 2.75661e-08 3.40368e-08
