# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
482000 91.1326 61.7469 110.895 -8.44817 63.8757 -55.4275
484000 -26.8075 -29.7673 76.1631 160.965 -8.69069 -152.275
486000 -32.7541 16.7714 51.9716 90.7751 -57.2489 -33.5262
488000 -12.0891 23.1728 -18.8743 23.2456 -54.3302 31.0847
490000 -46.7027 45.0922 -30.5492 -43.3467 -110.144 153.491
492000 -31.2326 -26.8483 -17.7883 -111.147 -24.8981 136.045
494000 -26.9591 6.73106 -64.7435 -86.823 54.1314 32.6916
496000 -62.7766 75.1938 -6.26472 -155.678 177.918 -22.2396
498000 -53.7718 9.17945 -10.6246 -40.4164 112.162 -71.7452
500000 -42.3154 -28.0883 1.11941 -4.44297 93.9709 -89.5279
502000 -14.9675 -47.5011 -19.673 -72.5498 145.598 -73.0478
504000 -104.154 76.2543 27.141 43.2011 39.9474 -83.1484
506000 -123.814 102.786 57.8846 -136.674 51.1684 85.5055
508000 -174.325 31.556 16.0059 -142.317 31.6258 110.691
510000 -92.7007 0.902999 -107.212 -67.4568 52.2738 15.183
512000 -72.171 -20.2252 -20.5746 79.0117 47.0258 -126.038
514000 -98.7582 14.307 74.9261 -93.6363 -20.7027 114.339
516000 -97.2942 190.068 -19.8495 163.671 -95.71 -67.9614
518000 -194.411 -55.9672 -42.9144 69.74 -102.095 32.355
520000 -125.644 -28.6416 -37.3302 100.191 -105.23 5.03942
522000 -8.43178 -54.3506 -38.0631 121.763 -70.7524 -51.0108
524000 100.31 71.3186 -82.3283 114.501 -92.2612 -22.2403
526000 83.5207 33.1099 -157.956 108.111 -117.228 9.11753
528000 89.7867 -29.3955 -91.1156 99.0668 -156.249 57.1826
530000 198.84 -24.0253 15.6225 -51.7456 -68.1369 119.883
532000 50.6334 30.1188 16.3099 -22.985 42.0765 -19.0915
534000 -78.897 29.9985 83.3577 -40.1478 97.809 -57.6612
536000 29.2378 18.7637 -57.1435 -88.9016 68.3154 20.5862
538000 39.362 -29.3602 -26.4407 -12.3459 174.504 -162.158
540000 29.5697 15.1403 3.68952 -48.2026 96.5792 -48.3766
542000 -31.802 8.8797 73.1995 14.2807 25.4969 -39.7776
544000 100.503 40.9517 -14.6017 -131.874 104.475 27.3995
546000 43.9221 193.732 -27.1423 -41.0847 81.5439 -40.4592
548000 30.9935 -75.3454 -5.32442 -3.40229 -36.3653 39.7676
550000 136.17 -42.9358 58.5305 -41.0841 76.1001 -35.016
552000 38.252 23.3959 161.161 46.663 -86.9055 40.2425
554000 57.2333 -45.6196 -28.5071 -31.4825 66.619 -35.1365
556000 74.1514 59.157 -46.8267 83.8824 -34.0071 -49.8753
558000 97.9618 133.769 -80.5032 -24.55 57.4986 -32.9487
560000 182.428 98.9195 -26.8931 -69.7514 108.703 -38.9519
562000 64.5769 31.9093 37.3833 -130.899 210.722 -79.8224
564000 36.0472 83.1669 -25.5368 -52.8572 167.215 -114.358
566000 25.1388 72.2327 -52.0903 7.33681 -10.6853 3.34853
568000 -20.9229 63.1072 -41.5258 28.128 -8.39936 -19.7286
570000 -76.1818 3.17222 -18.8103 -98.8619 94.2926 4.56932
572000 68.4863 64.4841 86.5055 -54.2034 115.968 -61.7649
574000 88.0102 39.0357 -78.4794 -42.3171 177.756 -135.439
576000 -25.2337 -4.12078 -51.3923 66.4251 42.066 -108.491
578000 52.7098 -43.4707 -53.4053 100.243 -33.0744 -67.1687
580000 128.026 74.4808 -14.978 85.8294 16.6917 -102.521
582000 55.9149 73.9823 67.731 9.76884 82.0425 -91.8113
584000 18.7751 -90.2286 -3.01789 -117.719 88.1035 29.6156
