# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
3310000 1210.45
3312000 1207.91
3314000 1207.77
3316000 1209.47
3318000 1208.06
3320000 1207.88
3322000 1206.01
3324000 1205.51
3326000 1204.56
3328000 1208.53
3330000 1207.95
3332000 1207.3
3334000 1206.04
3336000 1207.14
3338000 1207.8
3340000 1207.83
3342000 1211.13
3344000 1213.18
3346000 1215.32
3348000 1216.96
3350000 1214.09
3352000 1214.11
3354000 1216.39
3356000 1217.02
3358000 1219.02
3360000 1215.8
3362000 1221.91
3364000 1221.68
3366000 1225.79
3368000 1224.31
3370000 1228.17
3372000 1227.51
3374000 1229.01
3376000 1228.04
3378000 1227.06
3380000 1225.31
3382000 1224.05
3384000 1221.43
3386000 1223.75
3388000 1223.4
3390000 1219.77
3392000 1221.73
3394000 1223.67
3396000 1223.16
3398000 1226.89
3400000 1230.61
3402000 1227.66
3404000 1226.06
3406000 1227.87
3408000 1228.07
3410000 1233.5
3412000 1234.21
3414000 1231.82
3416000 1232.39
3418000 1232.67
3420000 1228.38
3422000 1229.27
3424000 1232.75
3426000 1233.33
3428000 1234.66
3430000 1232.99
3432000 1233.08
3434000 1232.28
3436000 1233.15
3438000 1235.13
3440000 1240.25
3442000 1240.49
3444000 1242.23
3446000 1242.5
3448000 1242.37
3450000 1242.15
3452000 1244.16
